block;num_tones;prob;style;running_no;file_name;difficulty
9;5;60;B;8;block_09_tc5_p60_styleB_08;medium
9;5;60;B;9;block_09_tc5_p60_styleB_09;medium
9;5;60;B;10;block_09_tc5_p60_styleB_10;medium
9;5;60;B;11;block_09_tc5_p60_styleB_11;medium
9;5;60;B;12;block_09_tc5_p60_styleB_12;medium
9;5;60;B;13;block_09_tc5_p60_styleB_13;medium
9;5;60;B;14;block_09_tc5_p60_styleB_14;medium
9;5;60;B;15;block_09_tc5_p60_styleB_15;medium
9;5;60;B;16;block_09_tc5_p60_styleB_16;medium
9;5;60;B;17;block_09_tc5_p60_styleB_17;medium
9;5;60;B;18;block_09_tc5_p60_styleB_18;medium
9;5;60;B;19;block_09_tc5_p60_styleB_19;medium
9;5;60;B;20;block_09_tc5_p60_styleB_20;medium
9;5;60;B;21;block_09_tc5_p60_styleB_21;medium
9;5;60;B;22;block_09_tc5_p60_styleB_22;medium
9;5;60;B;23;block_09_tc5_p60_styleB_23;medium
9;5;60;B;24;block_09_tc5_p60_styleB_24;medium
9;5;60;B;25;block_09_tc5_p60_styleB_25;medium
10;5;70;A;1;block_10_tc5_p70_styleA_01;medium
10;5;70;A;2;block_10_tc5_p70_styleA_02;medium
10;5;70;A;3;block_10_tc5_p70_styleA_03;medium
10;5;70;A;4;block_10_tc5_p70_styleA_04;medium
10;5;70;A;5;block_10_tc5_p70_styleA_05;medium
10;5;70;A;6;block_10_tc5_p70_styleA_06;medium
10;5;70;A;7;block_10_tc5_p70_styleA_07;medium
10;5;70;A;8;block_10_tc5_p70_styleA_08;medium
10;5;70;A;9;block_10_tc5_p70_styleA_09;medium
10;5;70;A;10;block_10_tc5_p70_styleA_10;medium
10;5;70;A;11;block_10_tc5_p70_styleA_11;medium
